id,identifier,species_id,height,weight,base_experience,order,is_default,type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grass
1,bulbasaur,1,7,69,64,1,1,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grass
2,ivysaur,2,10,130,142,2,1,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #003 #003 Venusaur Venusaur Grass Poison
3,venusaur,3,20,1000,236,3,1,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #004 #004 Charmander Charmander Fire
4,charmander,4,6,85,62,5,1,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #005 #005 Charmeleon Charmeleon Fire
5,charmeleon,5,11,190,142,6,1,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #006 #006 Charizard Charizard Fire Flying
6,charizard,6,17,905,240,7,1,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #007 #007 Squirtle Squirtle Water
7,squirtle,7,5,90,63,10,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #008 #008 Wartortle Wartortle Water
8,wartortle,8,10,225,142,11,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #009 #009 Blastoise Blastoise Water
9,blastoise,9,16,855,239,12,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #010 #010 Caterpie Caterpie Bug
10,caterpie,10,3,29,39,14,1,bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #011 #011 Metapod Metapod Bug
11,metapod,11,7,99,72,15,1,bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #012 #012 Butterfree Butterfree Bug Flying
12,butterfree,12,11,320,178,16,1,bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #013 #013 Weedle Weedle Bug Poison
13,weedle,13,3,32,39,17,1,bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #014 #014 Kakuna Kakuna Bug Poison
14,kakuna,14,6,100,72,18,1,bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #015 #015 Beedrill Beedrill Bug Poison
15,beedrill,15,10,295,178,19,1,bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #016 #016 Pidgey Pidgey Normal Flying
16,pidgey,16,3,18,50,20,1,flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #017 #017 Pidgeotto Pidgeotto Normal Flying
17,pidgeotto,17,11,300,122,21,1,flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #018 #018 Pidgeot Pidgeot Normal Flying
18,pidgeot,18,15,395,216,22,1,flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #019 #019 Rattata Rattata Normal
19,rattata,19,3,35,51,23,1,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #020 #020 Raticate Raticate Normal
20,raticate,20,7,185,145,24,1,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #021 #021 Spearow Spearow Normal Flying
21,spearow,21,3,20,52,25,1,flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #022 #022 Fearow Fearow Normal Flying
